country,fun_fact#,fun_fact
Sweden,9,"North Korea owes Sweden over 300 million dollars for 1,000 Volvo cars stolen in the 1970s."
Sweden,10,"Abba is Sweden's most successful musical export of all time."
Sweden,11,"Stockholm’s subway system is often called the world’s longest art gallery."
Sweden,12,"Swedes are among the world's highest consumers of coffee."
Sweden,13,"The Swedish monarchy is one of the oldest in the world, dating back over 1,000 years."
Sweden,14,"Surströmming, a fermented herring, is so smelly that some airlines ban it on flights."
Sweden,15,"The official Twitter account of Sweden was managed by a different random citizen every week for seven years."
Finland,1,"Finland has been named the happiest country in the world for seven consecutive years."
Finland,2,"There are more saunas in Finland than there are cars (about 3 million saunas)."
Finland,3,"Finland was the first country in Europe to give women the right to vote (1906)."
Finland,4,"The Finnish language is not Indo-European; it is part of the Uralic family, related to Estonian and Hungarian."
Finland,5,"Finland holds the World Championships for Wife Carrying and Mobile Phone Throwing."
Finland,6,"The official 'home' of Santa Claus is in Rovaniemi, Finnish Lapland."
Finland,7,"Finland has approximately 188,000 lakes within its borders."
Finland,8,"Finns drink more coffee per capita than any other nation in the world."
Finland,9,"Heavy metal is extremely popular; Finland has the most metal bands per capita in the world."
Finland,10,"Angry Birds and Clash of Clans were both created by Finnish companies."
Finland,11,"The northern lights (Aurora Borealis) are visible in Finnish Lapland about 200 nights a year."
Finland,12,"In Finland, speeding tickets are calculated based on the offender's annual income."
Finland,13,"The only Finnish word to make it into the English language is 'sauna'."
Finland,14,"Finland has an annual 'Day for Failure' to celebrate setbacks as learning experiences."
Finland,15,"Finland is the only country in the world to broadcast news in Latin (Nuntii Latini)."
Denmark,1,"The Danish flag, the Dannebrog, is the oldest national flag in continuous use (since 1219)."
Denmark,2,"Lego was invented in Denmark, and the name comes from 'Leg Godt,' meaning 'Play Well'."
Denmark,3,"Denmark has no mountains; the highest 'peak' is only 170 meters above sea level."
Denmark,4,"Copenhagen is one of the most bicycle-friendly cities; 50% of residents commute by bike."
Denmark,5,"The Danish monarchy is the oldest uninterrupted monarchy in Europe."
Denmark,6,"There is no word for 'please' in the Danish language."
Denmark,7,"Danish pastry actually originated in Austria; Danes call it 'Viennese bread' (wienerbrød)."
Denmark,8,"Denmark is consistently ranked as one of the least corrupt countries in the world."
Denmark,9,"You are never more than 50 kilometers away from the sea in Denmark."
Denmark,10,"Bluetooth technology was named after the 10th-century Danish King Harald 'Bluetooth' Gormsson."
Denmark,11,"Tivoli Gardens in Copenhagen is one of the oldest amusement parks in the world."
Denmark,12,"Denmark has 444 islands, but only about 76 of them are inhabited."
Denmark,13,"The Little Mermaid statue in Copenhagen has been decapitated twice by vandals."
Denmark,14,"Handball was invented in Denmark in the late 19th century."
Denmark,15,"The concept of 'Hygge' (coziness and comfortable conviviality) is a core part of Danish identity."
Iceland,1,"Iceland has no mosquitoes at all due to its unique climate and soil chemistry."
Iceland,2,"Icelanders do not have surnames; they use a patronymic system (father's name + son or dóttir)."
Iceland,3,"A majority of Icelanders believe in the existence of elves (Huldufólk)."
Iceland,4,"Iceland is home to the world’s oldest parliament, the Althing, established in 930 AD."
Iceland,5,"There are no McDonald's restaurants in the entire country of Iceland."
Iceland,6,"Iceland produces 100% of its electricity from renewable sources (geothermal and hydro)."
Iceland,7,"The country has more authors per capita than any other nation; 1 in 10 Icelanders will publish a book."
Iceland,8,"Beer was illegal in Iceland until 1989."
Iceland,9,"Iceland has 13 'Santa Clauses' known as the Yule Lads, who are mischievous trolls."
Iceland,10,"The Icelandic police do not carry guns."
Iceland,11,"Iceland has a 'Naming Committee' that must approve all new baby names to preserve the language."
Iceland,12,"Babies in Iceland are frequently left outside in strollers to nap in the cold air."
Iceland,13,"The country is located on two tectonic plates (North American and Eurasian) that are pulling apart."
Iceland,14,"There are more sheep in Iceland than there are people."
Iceland,15,"Iceland is the only place in the world where you can dive between two continental plates (Silfra Fissure)."
Switzerland,1,"Switzerland has 4 official languages: German, French, Italian, and Romansh."
Switzerland,2,"It is illegal to own just one guinea pig in Switzerland because they are social animals."
Switzerland,3,"Switzerland has enough nuclear fallout shelters to accommodate its entire population."
Switzerland,4,"The Swiss eat more chocolate than any other nation, averaging 11kg per person annually."
Switzerland,5,"Switzerland hasn't been in a state of war since 1815."
Switzerland,6,"Coffee in Zurich is among the most expensive in the world."
Switzerland,7,"Switzerland is home to over 7,000 lakes."
Switzerland,8,"The Swiss Flag is square, not rectangular (only the Vatican also has a square flag)."
Switzerland,9,"CERN, the world's largest particle physics laboratory, is located on the Swiss-French border."
Switzerland,10,"In Switzerland, citizens can challenge any law passed by parliament if they gather 50,000 signatures."
Switzerland,11,"The Swiss military keeps prepared 'destruction' points on all bridges and tunnels for defense."
Switzerland,12,"Switzerland has more peaks over 4,000 meters than any other European country."
Switzerland,13,"The Red Cross was founded in Geneva, Switzerland, in 1863."
Switzerland,14,"Assisted suicide is legal in Switzerland and has been since 1942."
Switzerland,15,"Switzerland produces about 450 varieties of cheese."
Austria,1,"The oldest zoo in the world, Tiergarten Schönbrunn (est. 1752), is in Vienna."
Austria,2,"Austria is the birthplace of many famous composers, including Mozart, Haydn, and Strauss."
Austria,3,"The croissant was actually invented in Vienna (the Kipferl) before being popularized in France."
Austria,4,"Austria is the only EU country that is not a member of NATO."
Austria,5,"The world's largest emerald (2,860 carats) is kept in the Imperial Treasury in Vienna."
Austria,6,"About 62% of Austria’s total land area is covered by the Alps."
Austria,7,"The sewing machine was invented by an Austrian, Josef Madersperger, in 1814."
Austria,8,"Vienna has been voted the world's most livable city multiple times."
Austria,9,"The 'Sound of Music' was filmed in Salzburg, but many locals have never seen the movie."
Austria,10,"Austria was the first country in the world to make organic farming a national regulation."
Austria,11,"The world's oldest operating restaurant, St. Peter Stiftskeller (est. 803 AD), is in Salzburg."
Austria,12,"Arnold Schwarzenegger was born and raised in Thal, Austria."
Austria,13,"Postcards were first used and issued in Austria in 1869."
Austria,14,"The Austrian flag is one of the oldest national flags in the world."
Austria,15,"Vienna has a massive 'Coffee House Culture' that is listed as a UNESCO Intangible Cultural Heritage."
Ireland,1,"Halloween originated in Ireland from the ancient Celtic festival of Samhain."
Ireland,2,"There are no wild snakes in Ireland; they never migrated there after the last Ice Age."
Ireland,3,"The harp is the national symbol of Ireland, making it the only country with a musical instrument as an emblem."
Ireland,4,"St. Patrick, the patron saint of Ireland, was actually British, not Irish."
Ireland,5,"Ireland has won the Eurovision Song Contest a record 7 times."
Ireland,6,"More Irish people live outside of Ireland (the diaspora) than inside the country."
Ireland,7,"Guinness beer was founded by Arthur Guinness, who signed a 9,000-year lease for the brewery."
Ireland,8,"Ireland is known as the 'Emerald Isle' because of its lush green landscape and high rainfall."
Ireland,9,"The 'Wild Atlantic Way' in Ireland is the longest defined coastal driving route in the world."
Ireland,10,"Hook Lighthouse in Wexford is one of the oldest working lighthouses in the world (800+ years)."
Ireland,11,"The Titanic was built in Belfast, Northern Ireland."
Ireland,12,"Ireland was the first country in the world to legalize same-sex marriage by popular vote."
Ireland,13,"Irish is the first official language of Ireland, though English is more widely spoken."
Ireland,14,"The White House in Washington D.C. was designed by an Irishman, James Hoban."
Ireland,15,"The oldest pub in Ireland, Sean's Bar, dates back to 900 AD."
Portugal,1,"Portugal is the world’s largest producer of cork, providing over 50% of the global supply."
Portugal,2,"The oldest bookstore in the world, Livraria Bertrand (est. 1732), is in Lisbon."
Portugal,3,"Tempura, the famous Japanese dish, was actually introduced to Japan by Portuguese missionaries."
Portugal,4,"Lisbon is older than Rome, with evidence of settlement dating back to 1200 BC."
Portugal,5,"Portugal was the first colonial power to abolish slavery (in 1761)."
Portugal,6,"The University of Coimbra, established in 1290, is one of the oldest in the world."
Portugal,7,"Portugal and England have the oldest active diplomatic alliance in the world (Treaty of Windsor, 1386)."
Portugal,8,"Fado is the traditional, soulful music of Portugal and is a UNESCO World Heritage treasure."
Portugal,9,"The Vasco da Gama Bridge in Lisbon is one of the longest bridges in Europe."
Portugal,10,"Portugal was the first country in the world to decriminalize the possession of all drugs (in 2001)."
Portugal,11,"The westernmost point of mainland Europe, Cabo da Roca, is located in Portugal."
Portugal,12,"Portuguese is the official language of 9 countries across 4 continents."
Portugal,13,"The biggest wave ever surfed was in Nazaré, Portugal (over 24 meters high)."
Portugal,14,"Portuguese monks and nuns invented many of the country's famous sweets, like Pastéis de Nata."
Portugal,15,"Portugal has 300 days of sunshine per year on average."
Poland,1,"Poland is home to the world's largest castle by land area, Malbork Castle."
Poland,2,"The Constitution of May 3, 1791, was the first modern constitution in Europe."
Poland,3,"Poland has one of the world's oldest salt mines, the Wieliczka Salt Mine."
Poland,4,"Vodka originated in Poland, with the first written mention dating back to 1405."
Poland,5,"Marie Curie, the first woman to win a Nobel Prize, was born in Warsaw, Poland."
Poland,6,"Poland has its own desert, the Błędów Desert, often called the 'Polish Sahara'."
Poland,7,"Warsaw was almost completely destroyed in WWII and was rebuilt using 18th-century paintings as a guide."
Poland,8,"Poland is home to Europe's heaviest animals, the European Bison (Żubr)."
Poland,9,"The world's first 'Upside Down House' was built in the Polish village of Szymbark."
Poland,10,"Polish people celebrate 'Fat Thursday' by eating roughly 100 million doughnuts (pączki)."
Poland,11,"Poland has one of the most diverse environments in Europe, from beaches to mountains and wetlands."
Poland,12,"The oldest restaurant in Europe, Piwnica Świdnicka (est. 1273), is located in Wrocław."
Poland,13,"An original Gutenberg Bible is kept in the Diocesan Museum in Pelplin."
Poland,14,"Pierogi are so beloved that they have their own dedicated festival in Kraków."
Poland,15,"Poland has the highest number of Nobel Prize winners in Literature in Central Europe."
Czechia,1,"The Czech Republic has the highest beer consumption per capita in the world."
Czechia,2,"Prague Castle is the largest ancient castle complex in the world."
Czechia ,3,"The word 'robot' was coined by Czech writer Karel Čapek in his 1920 play R.U.R."
Czechia ,4,"Soft contact lenses were invented by Czech chemist Otto Wichterle in 1959."
Czechia ,5,"The Czech Republic is home to over 2,000 castles and chateaux, the highest density in Europe."
Czechia ,6,"The first pale lager, Pilsner Urquell, was brewed in the Czech city of Plzeň in 1842."
Czechia,7,"Prague’s Astronomical Clock is the oldest one in the world that is still operating."
Czechia,8,"The Czech Republic is one of the most atheist countries in the world."
Czechia,9,"The Mushroom hunting season is a national passion; almost every family goes 'foraging'."
Czechia,10,"Gregor Mendel, the father of modern genetics, lived and worked in Brno."
Czechia,11,"The Charles University in Prague (est. 1348) is the oldest university in Central Europe."
Czechia,12,"The Czech Republic is consistently ranked among the top 10 safest countries globally."
Czechia,13,"The sugar cube was invented in the Czech town of Dačice in 1843."
Czechia,14,"Prague is known as the 'City of a Hundred Spires,' though it now has over 500."
Czechia,15,"Ice hockey is the most popular sport, and the national team is a global powerhouse."
Hungary,1,"The Hungarian Parliament Building is the third-largest parliament building in the world."
Hungary,2,"Budapest has the highest number of thermal springs of any capital city in the world."
Hungary,3,"The Rubik’s Cube was invented by Hungarian sculptor Ernő Rubik in 1974."
Hungary,4,"Hungary is home to the world’s first official wine region, Tokaj (est. 1730)."
Hungary,5,"It is traditionally considered rude to clink beer glasses in Hungary."
Hungary,6,"The Hungarian language is unrelated to any of its neighbors and is one of the hardest to learn."
Hungary,7,"Hungary has won the second-most gold medals in the Summer Olympics per capita."
Hungary,8,"The ballpoint pen (Biro) was invented by Hungarian journalist László Bíró."
Hungary,9,"Lake Balaton is the largest lake in Central Europe and is often called the 'Hungarian Sea'."
Hungary,10,"Budapest has the oldest electrified underground railway system in mainland Europe."
Hungary,11,"Hungary is one of the oldest countries in Europe, founded in 895 AD."
Hungary,12,"The Dohány Street Synagogue in Budapest is the largest synagogue in Europe."
Hungary,13,"Paprika is the most essential ingredient in Hungarian cuisine."
Hungary,14,"Hungary has 13 Nobel Prize winners, including the inventors of holography and the hydrogen bomb."
Hungary,15,"The 'Cowboys' of the Great Hungarian Plain, known as Csikós, are famous for their horse-riding skills."
Greece,1,"Athens is one of the oldest cities in the world, with recorded history going back 3,400 years."
Greece,2,"Greece has over 6,000 islands and islets, but only about 200 are inhabited."
Greece,3,"No point in Greece is more than 85 miles (137 km) away from the sea."
Greece,4,"Greece is the world's leading producer of sea sponges."
Greece,5,"The first Olympic Games were held in 776 BC in Olympia."
Greece,6,"Approximately 80% of Greece is covered by mountains."
Greece,7,"Greece has more archaeological museums than any other country in the world."
Greece,8,"The Greek national anthem has 158 verses, making it the longest in the world."
Greece,9,"Greeks do not wave with an open palm; it is considered an insult (the 'Mountza')."
Greece,10,"Greece enjoys more than 250 days of sunshine per year."
Greece,11,"Ancient Greek is the basis for thousands of English words in science and math."
Greece,12,"Greece has the lowest divorce rate in the European Union."
Greece,13,"Mount Olympus was believed to be the home of the gods in Greek mythology."
Greece,14,"Greece is the third-largest producer of olives in the world."
Greece,15,"The tradition of 'throwing plates' at celebrations is uniquely Greek."
Romania,1,"The Palace of the Parliament in Bucharest is the heaviest building in the world."
Romania,2,"Romania is home to the largest population of brown bears in Europe (outside Russia)."
Romania,3,"The name 'Romania' comes from the Latin word 'Romanus,' meaning 'citizen of Rome'."
Romania,4,"The Transfăgărășan road is often called the most beautiful driving road in the world."
Romania,5,"The world's first fountain pen was invented by Romanian Petrache Poenaru in 1827."
Romania,6,"Timișoara was the first city in Europe to have electric street lighting (1884)."
Romania,7,"Romania has its own 'Merry Cemetery' where colorful tombstones depict the lives of the deceased."
Romania,8,"The Danube Delta is the best-preserved delta in Europe and a UNESCO site."
Romania,9,"The tallest wooden church in the world is in Săpânța-Peri, Romania."
Romania,10,"Nadia Comăneci was the first gymnast to be awarded a perfect score of 10.0 in the Olympics."
Romania,11,"The Carpathian Mountains host over 60% of Europe's remaining virgin forests."
Romania,12,"The Scărișoara Glacier is the second-largest underground glacier in Europe."
Romania,13,"Romanian is a Romance language, closely related to Italian and Spanish."
Romania,14,"Bucharest is often nicknamed 'Little Paris' because of its elegant architecture."
Romania,15,"Peleș Castle was the first European castle to be entirely lit by electricity."
Bulgaria,1,"Bulgaria is the oldest country in Europe that hasn't changed its name since 681 AD."
Bulgaria,2,"The Cyrillic alphabet was created in Bulgaria in the 9th century."
Bulgaria,3,"Bulgaria produces about 85% of the world's rose oil."
Bulgaria,4,"The world's oldest gold treasure (over 6,000 years old) was found in Varna, Bulgaria."
Bulgaria,5,"Bulgarians shake their heads for 'yes' and nod for 'no'—the opposite of most cultures."
Bulgaria,6,"Bulgaria is home to the world’s most accurate ancient calendar, according to UNESCO."
Bulgaria,7,"The Bulgarian Army has never lost a single flag in battle."
Bulgaria,8,"Bulgaria has the second-highest number of natural mineral springs in Europe, after Iceland."
Bulgaria,9,"Yogurt as we know it originated in Bulgaria (containing Lactobacillus bulgaricus)."
Bulgaria,10,"The bagpipe (gaida) is a traditional national instrument in Bulgaria."
Bulgaria,11,"The Thracian Tomb of Kazanlak is one of the oldest UNESCO sites in the country."
Bulgaria,12,"Bulgaria is one of the world's largest wine exporters despite its small size."
Bulgaria,13,"The digital watch was invented by a Bulgarian, Peter Petroff."
Bulgaria,14,"Bulgarians wear 'Martenitsa' (red and white threads) in March to celebrate spring."
Bulgaria,15,"The inventor of the first electronic computer, John Atanasoff, was of Bulgarian descent."
Slovakia,1,"Slovakia has more than 6,000 caves, including unique aragonite and ice caves."
Slovakia,2,"Slovakia has the highest number of castles and chateaux per capita in the world."
Slovakia,3,"Bratislava is the only capital city in the world that borders two independent countries (Austria and Hungary)."
Slovakia,4,"The world's highest wooden Gothic altar is located in the St. James Church in Levoča."
Slovakia,5,"Slovakia is the world’s largest car producer per capita."
Slovakia,6,"The village of Čičmany is famous for its folk architecture with white geometric patterns."
Slovakia,7,"The geographical center of Europe is claimed to be near the village of Kremnické Bane."
Slovakia,8,"Slovakia has the highest density of mineral springs in the world."
Slovakia,9,"The Andy Warhol Museum of Modern Art is in Slovakia, as his parents were from there."
Slovakia,10,"Slovakia’s national dish is Bryndzové Halušky (potato dumplings with sheep cheese)."
Slovakia,11,"The Ochtinská Aragonite Cave is one of only three such caves in the world."
Slovakia,12,"The High Tatras are the smallest high-mountain range in the world."
Slovakia,13,"Slovakia has nine national parks and 14 protected landscape areas."
Slovakia,14,"The parachute was patented by Slovak inventor Štefan Banič in 1913."
Slovakia,15,"The first technical university in the world was founded in Banská Štiavnica in 1762."
Slovenia,1,"Slovenia is one of the most forested countries in Europe, with over 60% forest cover."
Slovenia,2,"The world's oldest vine (over 400 years old) is still producing grapes in Maribor."
Slovenia,3,"Slovenia is the only country with the word 'love' in its name."
Slovenia,4,"Slovenia has over 10,000 caves, including the world-famous Postojna Cave."
Slovenia,5,"Beekeeping is a national obsession; there are roughly 5 beekeepers for every 1,000 people."
Slovenia,6,"The world's oldest wheel (5,150 years old) was discovered in the Ljubljana Marshes."
Slovenia,7,"Slovenia has a diverse landscape that includes the Alps, the Mediterranean, and the Pannonian Plain."
Slovenia,8,"Lake Bled features the only island in Slovenia, which is home to a famous church."
Slovenia,9,"The Lipizzaner horse breed originated in the Slovenian village of Lipica."
Slovenia,10,"Slovenia was the first country in the world to be declared a 'Green Destination'."
Slovenia,11,"The capital city, Ljubljana, means 'The Loved One'."
Slovenia,12,"Mount Triglav is the national symbol and appears on the country's coat of arms."
Slovenia,13,"Slovenia has one of the highest numbers of Olympic medals per capita."
Slovenia,14,"The Solkan Bridge has the largest stone arch among all railway bridges in the world."
Slovenia,15,"Slovenia is home to the 'human fish' (Olm), a rare blind salamander that lives in caves."
Estonia,1,"Estonia was the first country in the world to adopt online political voting in 2005."
Estonia,2,"Skype was created by Estonian developers in 2003."
Estonia,3,"Estonia has two UNESCO World Heritage sites: the Old Town of Tallinn and the Struve Geodetic Arc."
Estonia,4,"The country has over 2,200 islands in the Baltic Sea."
Estonia,5,"Estonia is one of the least religious countries in the world."
Estonia,6,"Public transport is completely free for residents in the capital city, Tallinn."
Estonia,7,"Estonia has a 99.8% literacy rate, one of the highest in the world."
Estonia,8,"The 'Kiiking' sport, which involves swinging 360 degrees over a spindle, was invented here."
Estonia,9,"Estonia is the birthplace of the 'Save-the-Date' style of wedding invites."
Estonia,10,"Estonia has the highest number of startups per capita in Europe."
Estonia,11,"Almost the entire country is covered by a free Wi-Fi network."
Estonia,12,"The Estonian language has 14 noun cases, making it very complex to learn."
Estonia,13,"Estonia has the highest number of meteorite craters per land area in the world."
Estonia,14,"Singing is a national passion; the 'Singing Revolution' helped the country gain independence."
Estonia,15,"Estonia is home to the oldest pharmacy in Europe still in its original premises (est. 1422)."
Latvia,1,"Latvia's flag is one of the oldest in the world, dating back to the 13th century."
Latvia,2,"The jeans we know today were co-invented by a Latvian-born tailor, Jacob Davis."
Latvia,3,"Latvia has over 500 km of sandy beaches, many of which are blue-flag certified."
Latvia,4,"Over 50% of Latvia is covered by forests."
Latvia,5,"The world's first portable camera, the Minox, was invented in Riga in 1937."
Latvia,6,"Latvia has one of the world's highest proportions of fashion models per capita."
Latvia,7,"The Ventas Rumba in Kuldīga is the widest waterfall in Europe (249 meters)."
Latvia,8,"Riga is known as the world capital of Art Nouveau architecture."
Latvia,9,"Latvia is home to the 'Black Balsam,' a traditional herbal liqueur made with 24 ingredients."
Latvia,10,"The Christmas tree tradition is claimed by Riga, which decorated one in 1510."
Latvia,11,"Latvians have over 1.2 million traditional folk songs called 'dainas'."
Latvia,12,"Latvia is home to the world's only 'prison hotel' in Karosta, where guests are treated like inmates."
Latvia,13,"Latvia has the fourth-fastest internet speeds in the world on average."
Latvia,14,"Latvia has no mountains; its highest point is only 312 meters high."
Latvia,15,"Basketball is considered the unofficial national sport of Latvia."
Lithuania,1,"Lithuanian is one of the oldest living languages in the world, closely related to Sanskrit."
Lithuania,2,"The 'Stelmužė Oak' is one of the oldest trees in Europe, believed to be 1,500 years old."
Lithuania,3,"Lithuania was the last country in Europe to adopt Christianity (1387)."
Lithuania,4,"In the 15th century, the Grand Duchy of Lithuania was the largest country in Europe."
Lithuania,5,"Lithuania has its own official national scent, called 'The Scent of Lithuania'."
Lithuania,6,"The Hill of Crosses is a unique pilgrimage site with over 100,000 crosses."
Lithuania,7,"Lithuania is the only country in the world with an official national dish made of potatoes called 'Cepelinai'."
Lithuania,8,"Vilnius University is the oldest university in the Baltic States (est. 1579)."
Lithuania,9,"Lithuania was the first Soviet republic to declare independence in 1990."
Lithuania,10,"The country is famous for its amber, often called 'Baltic Gold'."
Lithuania,11,"Lithuania has a high-speed fiber-optic internet infrastructure that is among the best in the EU."
Lithuania,12,"The geografical center of Europe is officially located near Vilnius, according to French scientists."
Lithuania,13,"Lithuanians celebrate two independence days: February 16 and March 11."
Lithuania,14,"The hot air balloon density in Lithuania is one of the highest in the world."
Lithuania,15,"Storks are the national bird and are considered a sign of good luck and harmony."
Ukraine,1,"Ukraine is the largest country located entirely within the borders of Europe."
Ukraine,2,"The world's deepest subway station, Arsenalna, is in Kyiv (105.5 meters deep)."
Ukraine,3,"Ukraine is known as the 'breadbasket of Europe' due to its vast, fertile black soil."
Ukraine,4,"The world's heaviest aircraft, the Antonov An-225 Mriya, was built in Ukraine."
Ukraine,5,"Kyiv is home to the world's shortest main street, Khreshchatyk (only 1.2 km long)."
Ukraine,6,"The 'Tunnel of Love' is a natural green railway tunnel in Klevan, a popular tourist spot."
Ukraine,7,"Ukraine has the fourth highest number of IT professionals in the world."
Ukraine,8,"The world's first gas lamp was invented in Lviv in 1853."
Ukraine,9,"Ukraine is home to seven UNESCO World Heritage Sites."
Ukraine,10,"The traditional Ukrainian Easter egg, the Pysanka, is famous for its intricate designs."
Ukraine,11,"The world's largest concentration of mammoth bones was found in Ukraine."
Ukraine,12,"Ukraine is the world's largest producer of sunflower oil."
Ukraine,13,"The trembita is a traditional Ukrainian mountain horn and the world's longest wind instrument."
